timestamp_real,timestamp_sim,sender,receiver,message_type,performative,body_preview,metadata
2025-11-19 22:20:33.020,,storee1_test@localhost,warehousee1_test@localhost,Notify,store-buy,1 D,
2025-11-19 22:20:33.020,,storee1_test@localhost,warehousee2_test@localhost,Notify,store-buy,1 D,
2025-11-19 22:20:33.021,,warehousee1_test@localhost,storee1_test@localhost,Confirmation,warehouse-accept,1 D,
2025-11-19 22:20:33.021,,warehousee2_test@localhost,storee1_test@localhost,Confirmation,warehouse-accept,1 D,
2025-11-19 22:20:33.023,,storee1_test@localhost,warehousee1_test@localhost,Confirmation,store-confirm,1 D,
2025-11-19 22:20:33.024,,storee1_test@localhost,warehousee2_test@localhost,Confirmation,store-deny,1 D,
2025-11-19 22:20:33.598,,warehousee1_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 22:20:33.599,,vehiclee1@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:20:33.599,,warehousee1_test@localhost,vehiclee1@localhost,Request,order-proposal,"{""orderid"": 101000000, ""product"": ""D"", ""quantity"": 1, ""sender"": ""warehousee1_test@localhost"", ""recei...",
2025-11-19 22:20:33.600,,warehousee1_test@localhost,vehiclee2@localhost,Request,presence-info,,
2025-11-19 22:20:33.603,,vehiclee1@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 101000000, ""can_fit"": true, ""delivery_time"": 6.546, ""vehicle_id"": ""vehiclee1@localhost""}",
2025-11-19 22:20:33.604,,vehiclee2@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee2@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:20:33.604,,warehousee1_test@localhost,vehiclee2@localhost,Request,order-proposal,"{""orderid"": 101000000, ""product"": ""D"", ""quantity"": 1, ""sender"": ""warehousee1_test@localhost"", ""recei...",
2025-11-19 22:20:33.604,,warehousee1_test@localhost,vehiclee3@localhost,Request,presence-info,,
2025-11-19 22:20:33.608,,vehiclee2@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 101000000, ""can_fit"": true, ""delivery_time"": 9.251000000000001, ""vehicle_id"": ""vehiclee2...",
2025-11-19 22:20:33.608,,vehiclee3@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee3@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:20:33.608,,warehousee1_test@localhost,vehiclee3@localhost,Request,order-proposal,"{""orderid"": 101000000, ""product"": ""D"", ""quantity"": 1, ""sender"": ""warehousee1_test@localhost"", ""recei...",
2025-11-19 22:20:33.613,,vehiclee3@localhost,warehousee1_test@localhost,vehicle-proposal,vehicle-proposal,"{""orderid"": 101000000, ""can_fit"": true, ""delivery_time"": 6.546, ""vehicle_id"": ""vehiclee3@localhost""}",
2025-11-19 22:20:34.597,,warehousee1_test@localhost,vehiclee1@localhost,Confirmation,order-confirmation,"{""orderid"": 101000000, ""confirmed"": true}",
2025-11-19 22:20:34.597,,warehousee1_test@localhost,vehiclee2@localhost,Confirmation,order-confirmation,"{""orderid"": 101000000, ""confirmed"": false}",
2025-11-19 22:20:34.597,,warehousee1_test@localhost,vehiclee3@localhost,Confirmation,order-confirmation,"{""orderid"": 101000000, ""confirmed"": false}",
2025-11-19 22:20:34.995,,storee2_test@localhost,warehousee1_test@localhost,Notify,store-buy,13 D,
2025-11-19 22:20:34.996,,storee2_test@localhost,warehousee2_test@localhost,Notify,store-buy,13 D,
2025-11-19 22:20:34.997,,warehousee1_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,13 D,
2025-11-19 22:20:34.998,,warehousee2_test@localhost,storee2_test@localhost,Confirmation,warehouse-accept,13 D,
2025-11-19 22:20:34.999,,storee2_test@localhost,warehousee1_test@localhost,Confirmation,store-confirm,13 D,
2025-11-19 22:20:35.000,,storee2_test@localhost,warehousee2_test@localhost,Confirmation,store-deny,13 D,
2025-11-19 22:20:35.001,,warehousee1_test@localhost,vehiclee1@localhost,Request,presence-info,,
2025-11-19 22:20:35.001,,vehiclee1@localhost,warehousee1_test@localhost,Confirm,presence-response,"{""vehicle_id"": ""vehiclee1@localhost"", ""presence_type"": ""PresenceType.AVAILABLE"", ""presence_show"": ""P...",
2025-11-19 22:20:35.002,,warehousee1_test@localhost,vehiclee2@localhost,Request,presence-info,,
