timestamp_real,timestamp_sim,vehicle_jid,algorithm,num_orders,computation_time_ms,route_length,total_distance,total_fuel,route_nodes
2025-11-19 22:33:49.831,,order_101000000,astar,1,1.014,3,6.697,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:33:49.832,,vehiclee1@localhost,astar,1,1.015,0,6.697,0,order_101000000
2025-11-19 22:33:49.836,,order_101000000,astar,1,1.014,3,6.763,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:33:49.837,,vehiclee2@localhost,astar,1,1.014,0,6.763,0,order_101000000
2025-11-19 22:33:49.841,,order_101000000,astar,1,1.013,3,6.697,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:33:49.842,,vehiclee3@localhost,astar,1,1.013,0,6.697,0,order_101000000
2025-11-19 22:33:49.953,,order_202000000,astar,1,1.024,4,12.744,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:33:49.955,,vehiclee1@localhost,astar,1,1.523,0,12.744,0,order_202000000
2025-11-19 22:33:49.958,,order_202000000,astar,1,1.526,4,10.669,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:33:49.959,,vehiclee2@localhost,astar,1,1.019,0,10.669,0,order_202000000
2025-11-19 22:33:49.963,,order_202000000,astar,1,1.022,4,12.744,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:33:49.964,,vehiclee3@localhost,astar,1,1.018,0,12.744,0,order_202000000
2025-11-19 22:33:49.966,,vehiclee2@localhost,astar,1,1.014,3,10.669,0,"[19, 22, 13]"
2025-11-19 22:33:50.827,,vehiclee1@localhost,astar,1,1.54,3,6.697,0,"[9, 13, 9]"
2025-11-19 22:33:53.898,,order_102000000,astar,1,1.01,3,9.154,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:33:53.899,,vehiclee3@localhost,astar,1,1.012,0,9.154,0,order_102000000
2025-11-19 22:33:54.901,,vehiclee3@localhost,astar,1,1.03,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:33:56.915,,order_101000001,astar,1,1.021,3,6.697,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:33:56.919,,order_101000001,astar,1,1.53,3,6.763,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:33:56.921,,vehiclee2@localhost,astar,1,1.019,3,2.703,0,"[13, 13, 9]"
2025-11-19 22:33:56.923,,order_101000001,astar,1,1.531,3,6.697,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:33:56.925,,vehiclee3@localhost,astar,1,1.026,3,6.763,0,"[19, 13, 9]"
2025-11-19 22:33:56.928,,order_102000001,astar,1,1.015,3,9.154,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:33:56.931,,vehiclee1@localhost,astar,1,1.015,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:33:56.933,,order_102000001,astar,1,1.019,3,9.22,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:33:56.935,,vehiclee2@localhost,astar,1,1.531,3,5.16,0,"[13, 13, 19]"
2025-11-19 22:33:56.937,,order_102000001,astar,1,1.019,3,9.154,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:33:57.904,,vehiclee3@localhost,astar,2,2.036,5,9.154,0,"[9, 13, 13, 19, 19]"
2025-11-19 22:33:57.907,,vehiclee1@localhost,astar,2,2.047,5,6.697,0,"[9, 13, 13, 9, 9]"
2025-11-19 22:34:01.911,,order_102000002,astar,1,1.021,3,9.154,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:01.914,,vehiclee1@localhost,astar,1,1.024,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:34:01.917,,order_102000002,astar,1,1.032,3,9.22,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:01.919,,vehiclee2@localhost,astar,1,1.012,3,5.16,0,"[13, 13, 19]"
2025-11-19 22:34:01.921,,order_102000002,astar,1,1.519,3,9.154,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:02.908,,vehiclee3@localhost,astar,3,2.035,7,9.154,0,"[9, 13, 13, 13, 19, 19, 19]"
2025-11-19 22:34:06.917,,order_102000003,astar,1,1.017,3,9.154,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:06.921,,vehiclee1@localhost,astar,1,1.518,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:34:06.923,,order_102000003,astar,1,1.021,3,9.22,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:06.925,,vehiclee2@localhost,astar,1,1.011,3,5.16,0,"[13, 13, 19]"
2025-11-19 22:34:06.927,,order_102000003,astar,1,1.013,3,9.154,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:06.931,,order_101000002,astar,1,1.036,3,6.697,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:06.935,,order_101000002,astar,1,1.015,3,6.763,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:06.937,,vehiclee2@localhost,astar,1,1.016,3,2.703,0,"[13, 13, 9]"
2025-11-19 22:34:06.940,,order_101000002,astar,1,1.014,3,6.697,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:06.944,,vehiclee3@localhost,astar,1,1.014,3,6.763,0,"[19, 13, 9]"
2025-11-19 22:34:07.906,,vehiclee1@localhost,astar,3,2.032,7,6.697,0,"[9, 13, 13, 13, 9, 9, 9]"
2025-11-19 22:34:07.910,,vehiclee3@localhost,astar,4,2.548,9,9.154,0,"[9, 13, 13, 13, 13, 19, 19, 19, 19]"
2025-11-19 22:34:11.901,,order_101000003,astar,1,1.013,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:11.903,,vehiclee1@localhost,astar,1,1.022,3,6.697,0,"[9, 13, 9]"
2025-11-19 22:34:11.905,,order_101000003,astar,1,1.018,3,5.867,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:11.907,,vehiclee2@localhost,astar,1,1.051,3,2.703,0,"[13, 13, 9]"
2025-11-19 22:34:11.909,,order_101000003,astar,1,1.015,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:11.911,,vehiclee3@localhost,astar,1,1.017,3,6.763,0,"[19, 13, 9]"
2025-11-19 22:34:14.963,,order_202000001,astar,1,1.024,4,11.412,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:34:14.964,,vehiclee1@localhost,astar,1,1.017,3,12.744,0,"[9, 22, 13]"
2025-11-19 22:34:14.966,,order_202000001,astar,1,1.014,4,7.404,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:34:14.970,,order_202000001,astar,1,1.037,4,11.412,0.394,"[Node(22), Node(17), Node(12), Node(13)]"
2025-11-19 22:34:14.972,,vehiclee3@localhost,astar,1,1.521,3,10.669,0,"[19, 22, 13]"
2025-11-19 22:34:21.917,,order_101000004,astar,1,1.016,3,5.327,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:21.918,,vehiclee1@localhost,astar,1,1.018,3,6.697,0,"[9, 13, 9]"
2025-11-19 22:34:21.920,,order_101000004,astar,1,1.012,3,8.15,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:21.922,,vehiclee2@localhost,astar,2,1.522,5,9.4,0,"[13, 13, 9, 13, 9]"
2025-11-19 22:34:21.925,,order_101000004,astar,1,1.014,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:21.926,,vehiclee3@localhost,astar,1,1.524,3,6.763,0,"[19, 13, 9]"
2025-11-19 22:34:26.906,,order_101000005,astar,1,1.019,3,5.327,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:26.908,,vehiclee1@localhost,astar,2,1.527,5,13.394,0,"[9, 13, 9, 13, 9]"
2025-11-19 22:34:26.910,,order_101000005,astar,1,1.022,3,8.15,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:26.912,,vehiclee2@localhost,astar,2,1.558,5,9.4,0,"[13, 13, 9, 13, 9]"
2025-11-19 22:34:26.914,,order_101000005,astar,1,1.015,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:26.916,,vehiclee3@localhost,astar,1,1.016,3,6.763,0,"[19, 13, 9]"
2025-11-19 22:34:28.177,,vehiclee1@localhost,astar,1,1.536,3,6.697,0,"[9, 13, 9]"
2025-11-19 22:34:31.907,,order_101000006,astar,1,1.016,3,6.697,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:31.911,,order_101000006,astar,1,1.016,3,8.15,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:31.912,,vehiclee2@localhost,astar,2,1.526,5,9.4,0,"[13, 13, 9, 13, 9]"
2025-11-19 22:34:31.914,,order_101000006,astar,1,1.018,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:31.917,,vehiclee3@localhost,astar,2,2.042,5,13.46,0,"[19, 13, 9, 13, 9]"
2025-11-19 22:34:32.902,,vehiclee1@localhost,astar,2,1.52,5,13.394,0,"[9, 13, 9, 13, 9]"
2025-11-19 22:34:36.902,,order_101000007,astar,1,1.022,3,6.697,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:36.905,,order_101000007,astar,1,1.019,3,8.15,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:36.907,,vehiclee2@localhost,astar,2,2.067,5,9.4,0,"[13, 13, 9, 13, 9]"
2025-11-19 22:34:36.909,,order_101000007,astar,1,1.019,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:36.911,,vehiclee3@localhost,astar,2,2.037,5,13.46,0,"[19, 13, 9, 13, 9]"
2025-11-19 22:34:37.897,,vehiclee1@localhost,astar,3,1.532,7,20.091,0,"[9, 13, 9, 13, 9, 13, 9]"
2025-11-19 22:34:41.919,,order_101000008,astar,1,1.523,3,6.697,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:41.922,,order_101000008,astar,1,1.016,3,8.15,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:41.924,,vehiclee2@localhost,astar,2,2.037,5,9.4,0,"[13, 13, 9, 13, 9]"
2025-11-19 22:34:41.926,,order_101000008,astar,1,1.024,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:41.928,,vehiclee3@localhost,astar,2,2.03,5,13.46,0,"[19, 13, 9, 13, 9]"
2025-11-19 22:34:42.900,,vehiclee1@localhost,astar,4,2.558,9,13.394,0,"[9, 13, 13, 9, 9, 13, 13, 9, 9]"
2025-11-19 22:34:46.898,,order_102000004,astar,1,1.014,3,9.154,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:46.903,,vehiclee1@localhost,astar,1,1.04,3,9.154,0,"[9, 13, 19]"
2025-11-19 22:34:46.905,,order_102000004,astar,1,1.02,3,10.607,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:46.908,,vehiclee2@localhost,astar,2,2.034,5,11.923,0,"[13, 13, 19, 13, 9]"
2025-11-19 22:34:46.910,,order_102000004,astar,1,1.015,3,5.16,0.173,"[Node(13), Node(14), Node(19)]"
2025-11-19 22:34:46.913,,vehiclee3@localhost,astar,2,3.06,5,12.607,0,"[19, 13, 13, 9, 19]"
2025-11-19 22:34:51.907,,order_101000009,astar,1,1.028,3,2.703,0.326,"[Node(13), Node(8), Node(9)]"
2025-11-19 22:34:51.911,,order_101000009,astar,1,1.023,3,4.557,0.326,"[Node(13), Node(8), Node(9)]"
